name,name_cn,tag_l1,tag_l2,business_tags_customer,business_tags_role,business_tags_channel,国家地区,简介,原分类category_l1,原分类category_l2
复星保德信,复星保德信,养老服务,养老社区,B2B+B2C,平台,,国内,复星保德信是养老机构运营商，运营养老社区或康养项目。,养老地产,运营商
夕阳红,夕阳红,养老服务;消费品,智能硬件;适老化,B2B+B2C,制造商(硬件/设备),,国内,夕阳红是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。,养老用品,肢体障碍
多呵,多呵,消费品,个护,B2B,服务商(媒体/数据),,国内,多呵是银发经济领域行业服务商，为养老产业提供相关产品或服务。,行业服务,行业媒体
大耳马,大耳马,消费品,助听器,B2C,服务商,,国内,大耳马是助听器品牌，专注 affordable 听力解决方案，服务老年听力障碍人群。,健康服务,健康养生
天华设计,天华设计,养老服务;消费品,居家护理;智能硬件;适老化;适老化改造,B2B+B2C,平台,,国内,天华设计是适老化产品品牌，专注老年人居家环境改造和适老化设备研发。,适老化改造,适老家居产品
天合人康,天合人康,食品营养,保健品,B2C,制造商(消费品),,国内,天合人康是营养保健品品牌，在中老年健康营养市场有布局，提供适合银发人群的保健产品。,健康食品,保健品&OTC
天壹智慧,天壹智慧,养老服务,专业护理;居家护理,B2B+B2C,平台,,国内,天壹智慧是智慧养老平台，提供养老机构信息化管理和社区居家养老服务系统。,养老服务,专业级护理
天天好,天天好,食品营养,保健品,B2C,制造商(消费品),,国内,天天好是营养保健品品牌，在中老年健康营养市场有布局，提供适合银发人群的保健产品。,健康食品,保健品&OTC
天空树,天空树,消费品,个护,B2B,服务商(媒体/数据),,国内,天空树是银发经济领域行业服务商，为养老产业提供相关产品或服务。,行业服务,行业媒体
天鹅到家,天鹅到家,养老服务,专业护理,B2B+B2C,服务商,,国内,天鹅到家（原58到家）是国内最大的家庭服务平台，提供保洁、月嫂、养老护理等上门服务，覆盖全国400+城市。,养老服务,专业级护理
太保资本,太保资本,金融保险,产业资本,未标注,服务商,,国内,太保资本是中国太保旗下投资管理平台，在养老地产和健康产业领域有战略投资布局。,产业资本,消费背景
太平养老,太平养老,养老服务,养老社区,B2B+B2C,平台,,国内,太平养老是养老机构运营商，运营养老社区或康养项目。,养老地产,运营商
太爱肽,太爱肽,食品营养,保健品,B2C,制造商(消费品),,国内,太爱肽是营养保健品品牌，在中老年健康营养市场有布局，提供适合银发人群的保健产品。,健康食品,保健品&OTC
奥特顺咽,奥特顺咽,养老服务;消费品,智能硬件;适老化,B2B+B2C,制造商(硬件/设备),,国内,奥特顺咽是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。,养老用品,肢体障碍
女王新款,女王新款,消费品,鞋服,B2B,服务商(媒体/数据),,国内,女王新款是银发经济领域行业服务商，为养老产业提供相关产品或服务。,行业服务,行业媒体
好孝心,好孝心,食品营养,保健品,B2C,制造商(消费品),,国内,好孝心是营养保健品品牌，在中老年健康营养市场有布局，提供适合银发人群的保健产品。,健康食品,保健品&OTC
好慷在家,好慷在家,养老服务,专业护理;居家护理,B2B+B2C,平台,,国内,好慷在家是高端家庭保洁服务品牌，提供标准化上门保洁服务，同时涉足居家养老护理领域。,养老服务,专业级护理
如身机器人,如身机器人,医疗健康;消费品,康复医疗;智能硬件,B2B+B2C,服务商,,国内,如身机器人专注康复训练机器人研发，为老年康复和运动损伤恢复提供智能化康复设备。,康复设备,运动康复
孝当先,孝当先,食品营养,保健品,B2C,制造商(消费品),,国内,孝当先是营养保健品品牌，在中老年健康营养市场有布局，提供适合银发人群的保健产品。,健康食品,保健品&OTC
孝心坊,孝心坊,食品营养,保健品,B2C,制造商(消费品),,国内,孝心坊是营养保健品品牌，在中老年健康营养市场有布局，提供适合银发人群的保健产品。,健康食品,保健品&OTC
安养养老,安养养老,养老服务,养老社区,B2B+B2C,平台,,国内,安养养老是养老机构运营商，运营养老社区或康养项目。,养老地产,运营商
安养帮,安养帮,养老服务,养老社区,B2B+B2C,平台,,国内,安养帮是养老机构运营商，运营养老社区或康养项目。,养老地产,运营商
安康通,安康通,养老服务,专业护理;居家护理,B2B+B2C,平台,,国内,安康通是国内综合养老运营标杆企业，成立于1998年，2013年加入三胞集团，提供智慧居家养老服务，拥有自主运营的智慧养老指挥中心和专业化的服务团队。,养老服务,专业级护理
安泰康成,安泰康成,医疗健康;消费品,医疗器械;康复医疗;慢病管理;智能硬件,B2B+B2C,制造商(硬件/设备),,国内,安泰康成是康复医疗设备品牌，专注心肺康复和老年慢病康复设备研发。,康复设备,运动康复
安馨康养,安馨康养,养老服务;消费品,居家护理;智能硬件;适老化;适老化改造,B2B+B2C,平台,,国内,安馨康养是适老化产品品牌，专注老年人居家环境改造和适老化设备研发。,适老化改造,适老家居产品
完美亲家,完美亲家,文娱社交,文娱;相亲;社交平台,B2C,平台,,国内,完美亲家是中老年婚恋相亲平台，专注为子女父母提供相亲匹配服务。,老年文娱,社交平台
家有购物,家有购物,渠道零售,电商,B2B,服务商(媒体/数据),,国内,家有购物是银发经济领域行业服务商，为养老产业提供相关产品或服务。,行业服务,行业媒体
家瑞康,家瑞康,养老服务;消费品,智能硬件;适老化,B2B+B2C,制造商(硬件/设备),,国内,家瑞康是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。,养老用品,肢体障碍
富伯医疗,富伯医疗,医疗健康;消费品,医疗器械;康复医疗;智能硬件,B2B,制造商(硬件/设备),,国内,富伯医疗是康复医疗器械品牌，研发生产康复训练设备和物理治疗设备。,康复设备,运动康复
寻缘树,寻缘树,文娱社交,文娱;相亲;社交平台,B2C,平台,线上;线下,国内,寻缘树是中老年婚恋社交平台，提供线上匹配和线下相亲活动。,老年文娱,社交平台
寿仙谷,寿仙谷,食品营养,保健品,B2C,制造商(消费品),,国内,寿仙谷是营养保健品品牌，在中老年健康营养市场有布局，提供适合银发人群的保健产品。,健康食品,保健品&OTC
尊术医疗,尊术医疗,养老服务;医疗健康,专业护理;慢病管理,B2B+B2C,服务商,,国内,尊术医疗是专科医疗服务品牌，在老年慢病管理和康复医疗领域有布局。,养老服务,专业级护理
小V助浴,小V助浴,养老服务,专业护理,B2B+B2C,服务商,,国内,小V助浴是老年人上门助浴服务品牌，解决失能半失能老人洗澡难题。,养老服务,专业级护理
小柏家护,小柏家护,养老服务,专业护理;居家护理,B2B+B2C,平台,,国内,小柏家护是居家养老护理平台，提供专业护理员上门服务，涵盖生活照料和医疗护理。,养老服务,专业级护理
小飞哥,小飞哥,养老服务;消费品,智能硬件;适老化,B2B+B2C,制造商(硬件/设备),,国内,小飞哥是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。,养老用品,肢体障碍
尚体乐活,尚体乐活,文娱社交,健身;文娱;社交平台,B2C,服务商,,国内,尚体乐活是老年运动健康品牌，提供适合老年人的运动器材和健身课程。,老年文娱,社交平台
就爱广场舞,就爱广场舞,文娱社交,文娱;社交平台,B2B+B2C,平台,,国内,就爱广场舞是中老年广场舞社区平台，提供广场舞教学视频、社交互动等服务，用户超千万。,老年文娱,社交平台
左点,左点,消费品,智能硬件,B2B,服务商(媒体/数据),,国内,左点是银发经济领域行业服务商，为养老产业提供相关产品或服务。,行业服务,行业媒体
巨贸康万家,巨贸康万家,养老服务;消费品,智能硬件;适老化,B2B+B2C,制造商(硬件/设备),,国内,巨贸康万家是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。,养老用品,肢体障碍
希润医疗,希润医疗,医疗健康;消费品,医疗器械;康复医疗;智能硬件,B2B,制造商(硬件/设备),,国内,希润医疗是康复医疗器械品牌，专注老年康复和神经康复设备研发制造。,康复设备,运动康复
平安臻颐年,平安臻颐年,养老服务,养老社区,B2B+B2C,平台,,国内,平安臻颐年是养老机构运营商，运营养老社区或康养项目。,养老地产,运营商
康乐龄,康乐龄,养老服务;消费品,智能硬件;适老化,B2B+B2C,制造商(硬件/设备),,国内,康乐龄是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。,养老用品,肢体障碍
康力元,康力元,养老服务;消费品,智能硬件;适老化,B2B+B2C,制造商(硬件/设备),,国内,康力元是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。,养老用品,肢体障碍
康复之家,康复之家,养老服务,适老化,B2B,服务商(媒体/数据),,国内,康复之家是银发经济领域行业服务商，为养老产业提供相关产品或服务。,行业服务,行业媒体
康德宝,康德宝,养老服务;消费品,智能硬件;适老化,B2B+B2C,制造商(硬件/设备),,国内,康德宝是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。,养老用品,肢体障碍
康政,康政,养老服务;消费品,智能硬件;适老化,B2B+B2C,制造商(硬件/设备),,国内,康政是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。,养老用品,肢体障碍
康林仁和,康林仁和,食品营养,保健品,B2B,服务商(媒体/数据),,国内,康林仁和是银发经济领域行业服务商，为养老产业提供相关产品或服务。,行业服务,行业媒体
康比特,康比特,食品营养,保健品,B2C,制造商(消费品),,国内,康比特是营养保健品品牌，在中老年健康营养市场有布局，提供适合银发人群的保健产品。,健康食品,保健品&OTC
康爱医疗,康爱医疗,医疗健康;消费品,康复医疗;慢病管理;智能硬件,B2C,制造商(消费品),,国内,康爱医疗是肿瘤康复和老年慢病管理服务平台，提供术后康复、营养支持和心理干预等综合服务。,康复设备,运动康复
康语轩,康语轩,养老服务;医疗健康,养老机构;认知症,B2B+B2C,服务商,,国内,康语轩是认知症照护机构品牌，引入日式认知症专业照护理念，运营认知症护理机构。,失智老人赛道,照护机构
彭世,彭世,医疗健康,健康管理,B2B+B2C,服务商,,国内,彭世是足浴养生连锁品牌，在中老年养生保健市场有广泛布局。,健康服务,健康养生
得印科技,得印科技,养老服务;消费品,智能硬件;适老化,B2B+B2C,制造商(硬件/设备),,国内,得印科技是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。,养老用品,肢体障碍
德林,德林,养老服务;消费品,智能硬件;适老化,B2B+B2C,制造商(硬件/设备),,国内,德林是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。,养老用品,肢体障碍
